Drug name,Drug ID,Drug target,Target Pathway,Feature Name,n_feature_pos,n_feature_neg,ic50_effect_size,log_ic50_mean_pos,log_ic50_mean_neg,log_max_conc_tested,log_max_conc_tested_2,feature_ic50_t_pval,feature_delta_mean_ic50,feature_pos_ic50_var,feature_neg_ic50_var,feature_pval,tissue_pval,msi_pval,fdr,Tissue Type,Screening Set
PD0325901,1060,"MEK1, MEK2",ERK MAPK signaling,TP53_mut,11,5,0.184847199,0.483492985,0.045066346,,,0.806902839,0.438426639,1.610371765,3.634050616,0.736903472,,,0,THCA,GDSC2
SB590885,1061,BRAF,ERK MAPK signaling,BRAF_mut,7,9,0.897214312,4.116079276,5.263009532,,,0.097039492,-1.146930256,1.260284567,1.291687611,0.096721785,,,0,THCA,GDSC2
SB590885,1061,BRAF,ERK MAPK signaling,NRAS_mut,3,13,0.218488787,4.510955205,4.8189827,,,0.7185427,-0.308027495,1.177692774,1.444874443,0.738081961,,,0,THCA,GDSC2
SB590885,1061,BRAF,ERK MAPK signaling,TP53_mut,11,5,0.180187606,4.840625329,4.586552418,,,0.819063017,0.254072911,0.8470286,2.272700108,0.743273271,,,0,THCA,GDSC2
Selumetinib,1062,"MEK1, MEK2",ERK MAPK signaling,BRAF_mut,7,9,0.860119031,2.052603792,3.546737952,,,0.092258921,-1.49413416,1.246998405,2.028435644,0.109942055,,,0,THCA,GDSC2
Selumetinib,1062,"MEK1, MEK2",ERK MAPK signaling,NRAS_mut,3,13,1.106913734,1.33412838,3.252806383,,,0.213729858,-1.918678003,1.903444164,1.703360158,0.105939536,,,0,THCA,GDSC2
Selumetinib,1062,"MEK1, MEK2",ERK MAPK signaling,TP53_mut,11,5,0.431662216,3.144912964,2.338965102,,,0.543757875,0.805947862,1.481603632,2.590961771,0.436894487,,,0,THCA,GDSC2
CCT007093,1067,PPM1D,Cell cycle,BRAF_mut,6,9,0.217212116,5.625018511,5.859669104,,,0.64705756,-0.234650593,0.635702459,1.28211565,0.68695842,,,0,THCA,GDSC2
CCT007093,1067,PPM1D,Cell cycle,NRAS_mut,3,12,0.413905202,5.411333775,5.854427639,,,0.65433279,-0.443093864,1.435082452,0.989915109,0.532522653,,,0,THCA,GDSC2
CCT007093,1067,PPM1D,Cell cycle,TP53_mut,11,4,0.30854375,5.677291854,6.009230652,,,0.749923809,-0.331938799,0.67329649,1.87197627,0.606096821,,,0,THCA,GDSC2
Obatoclax Mesylate,1068,"BCL2, BCL-XL, BCL-W, MCL1",Apoptosis regulation,BRAF_mut,7,7,1.427794082,-0.342277861,1.150830825,,,0.022852721,-1.493108686,0.808208035,1.238533593,0.020367112,,,0,THCA,GDSC2
Obatoclax Mesylate,1068,"BCL2, BCL-XL, BCL-W, MCL1",Apoptosis regulation,TP53_mut,10,4,0.946329545,0.080120279,1.214666991,,,0.241397337,-1.134546712,1.0686248,1.524299545,0.135671945,,,0,THCA,GDSC2
EHT-1864,1069,"RAC1, RAC2, RAC3",Cytoskeleton,BRAF_mut,7,9,0.11279522,3.950348321,4.077212041,,,0.826649034,-0.12686372,1.132173212,1.119108117,0.826129752,,,0,THCA,GDSC2
EHT-1864,1069,"RAC1, RAC2, RAC3",Cytoskeleton,NRAS_mut,3,13,0.138275109,4.148086176,3.992545237,,,0.783081627,0.155540938,0.732337255,1.177634865,0.832193444,,,0,THCA,GDSC2
EHT-1864,1069,"RAC1, RAC2, RAC3",Cytoskeleton,TP53_mut,11,5,0.318541771,3.910920577,4.265444054,,,0.628225841,-0.354523477,0.970864366,1.406739825,0.564206575,,,0,THCA,GDSC2
Avagacestat,1072,"Amyloid beta20, Amyloid beta40",Other,BRAF_mut,7,9,0.443040382,5.077822154,5.651773898,,,0.361087336,-0.573951743,0.82446789,1.557940175,0.394169617,,,0,THCA,GDSC2
Avagacestat,1072,"Amyloid beta20, Amyloid beta40",Other,NRAS_mut,3,13,0.224118647,5.641944338,5.344991319,,,0.811849012,0.29695302,1.8496586,1.215715936,0.731617927,,,0,THCA,GDSC2
Avagacestat,1072,"Amyloid beta20, Amyloid beta40",Other,TP53_mut,11,5,0.328320806,5.265905247,5.697152487,,,0.644454509,-0.43124724,1.027643507,1.843447865,0.552457592,,,0,THCA,GDSC2
5-Fluorouracil,1073,Antimetabolite (DNA & RNA),Other,BRAF_mut,7,9,0.591679624,4.833165831,5.929851601,,,0.26859983,-1.09668577,1.957453689,1.7715596,0.259949855,,,0,THCA,GDSC2
5-Fluorouracil,1073,Antimetabolite (DNA & RNA),Other,NRAS_mut,3,13,0.381948597,6.045397941,5.312663954,,,0.669493799,0.732733988,2.49373074,1.804779954,0.560482435,,,0,THCA,GDSC2
5-Fluorouracil,1073,Antimetabolite (DNA & RNA),Other,TP53_mut,11,5,0.756003858,5.879831371,4.504536029,,,0.342317187,1.375295342,1.228980537,2.794060598,0.182793594,,,0,THCA,GDSC2
Dasatinib,1079,"ABL, SRC, Ephrins, PDGFR, KIT","Other, kinases",BRAF_mut,7,9,0.682894509,-0.343011612,1.195413845,,,0.160713234,-1.538425457,0.704498817,2.91705467,0.196855359,,,0,THCA,GDSC2
Dasatinib,1079,"ABL, SRC, Ephrins, PDGFR, KIT","Other, kinases",NRAS_mut,3,13,0.647207745,1.738724158,0.241651604,,,0.53492312,1.497072554,3.445350135,2.064921317,0.32942432,,,0,THCA,GDSC2
Dasatinib,1079,"ABL, SRC, Ephrins, PDGFR, KIT","Other, kinases",TP53_mut,11,5,0.322608928,0.283828868,1.047105156,,,0.625835542,-0.763276288,2.050595922,3.013244628,0.559303907,,,0,THCA,GDSC2
Paclitaxel,1080,Microtubule stabiliser,Mitosis,BRAF_mut,7,9,0.320326439,-2.457011603,-1.822266944,,,0.512953079,-0.634744659,1.473918312,2.289576018,0.535271494,,,98.21755726,THCA,GDSC2
Paclitaxel,1080,Microtubule stabiliser,Mitosis,NRAS_mut,3,13,0.014567735,-2.123757573,-2.094477769,,,0.987776706,-0.029279804,2.857287584,1.830938406,0.982175573,,,98.21755726,THCA,GDSC2
Paclitaxel,1080,Microtubule stabiliser,Mitosis,TP53_mut,11,5,0.041068744,-2.12575799,-2.043229164,,,0.954444637,-0.082528826,1.51338407,2.899636764,0.940382366,,,98.21755726,THCA,GDSC2
Crizotinib,1083,"MET, ALK, ROS1",RTK signaling,BRAF_mut,7,9,1.402387124,2.438362821,3.859918058,,,0.01052656,-1.421555238,0.602374633,1.235323541,0.014669096,,,0,THCA,GDSC2
Crizotinib,1083,"MET, ALK, ROS1",RTK signaling,NRAS_mut,3,13,0.139695884,3.09484456,3.271020661,,,0.882204785,-0.176176101,1.771205111,1.154423049,0.830498122,,,0,THCA,GDSC2
Crizotinib,1083,"MET, ALK, ROS1",RTK signaling,TP53_mut,11,5,0.311835297,3.359648676,2.970333367,,,0.688598344,0.389315308,0.796767301,1.96678102,0.572340637,,,0,THCA,GDSC2
Rapamycin,1084,MTORC1,PI3K/MTOR signaling,BRAF_mut,7,8,0.585025702,-1.453252644,-0.773666788,,,0.299202547,-0.679585857,1.413801262,0.89035449,0.278741827,,,0,THCA,GDSC2
Rapamycin,1084,MTORC1,PI3K/MTOR signaling,NRAS_mut,3,12,0.419627459,-1.49300005,-0.990258555,,,0.296358273,-0.502741494,0.460606511,1.287541659,0.526959583,,,0,THCA,GDSC2
Rapamycin,1084,MTORC1,PI3K/MTOR signaling,TP53_mut,10,5,0.356638799,-0.948388441,-1.37564368,,,0.656626622,0.427255239,0.605281936,1.959625408,0.526305171,,,0,THCA,GDSC2
Sorafenib,1085,"PDGFR, KIT, VEGFR, RAF","Other, kinases",BRAF_mut,7,9,0.515881051,2.769391195,3.545828854,,,0.281126151,-0.776437659,0.653475235,1.908899119,0.323355071,,,0,THCA,GDSC2
Sorafenib,1085,"PDGFR, KIT, VEGFR, RAF","Other, kinases",NRAS_mut,3,13,0.090498649,3.091483964,3.232595858,,,0.911815121,-0.141111894,1.87395483,1.500420471,0.889653023,,,0,THCA,GDSC2
Sorafenib,1085,"PDGFR, KIT, VEGFR, RAF","Other, kinases",TP53_mut,11,5,0.498124548,2.97031951,3.724936688,,,0.537109464,-0.754617178,0.896659778,2.454059262,0.371366131,,,0,THCA,GDSC2
BI-2536,1086,"PLK1, PLK2, PLK3",Cell cycle,BRAF_mut,7,9,0.346861462,-0.299272829,0.58676467,,,0.490654226,-0.886037498,2.236642626,2.768957741,0.502521459,,,0,THCA,GDSC2
BI-2536,1086,"PLK1, PLK2, PLK3",Cell cycle,NRAS_mut,3,13,0.68312722,-1.18726327,0.519058618,,,0.349650015,-1.706321888,2.403163093,2.513237782,0.304230888,,,0,THCA,GDSC2
BI-2536,1086,"PLK1, PLK2, PLK3",Cell cycle,TP53_mut,11,5,0.124639126,0.300095043,-0.02301465,,,0.867173307,0.323109693,1.815983402,3.908541571,0.820590205,,,0,THCA,GDSC2
Irinotecan,1088,TOP1,DNA replication,BRAF_mut,7,9,0.342276024,2.8919458,3.541508871,,,0.479226937,-0.649563071,1.259494936,2.261187845,0.508095795,,,0,THCA,GDSC2
Irinotecan,1088,TOP1,DNA replication,NRAS_mut,3,13,0.134459914,3.046938423,3.305875782,,,0.732029163,-0.258937359,0.799977911,2.054258311,0.836750149,,,0,THCA,GDSC2
Irinotecan,1088,TOP1,DNA replication,TP53_mut,11,5,0.709006161,2.854133225,4.144346993,,,0.394676316,-1.290213767,1.0377421,2.982941513,0.209795887,,,0,THCA,GDSC2
Oxaliplatin,1089,DNA alkylating agent,DNA replication,BRAF_mut,7,9,0.231761741,4.889768051,5.259201625,,,0.640974007,-0.369433574,1.338783288,1.761345079,0.652657505,,,0,THCA,GDSC2
Oxaliplatin,1089,DNA alkylating agent,DNA replication,NRAS_mut,3,13,0.240394979,4.785451746,5.16960275,,,0.801147382,-0.384151003,2.261888414,1.458256536,0.713050097,,,0,THCA,GDSC2
Oxaliplatin,1089,DNA alkylating agent,DNA replication,TP53_mut,11,5,1.119397538,5.588862272,4.016741198,,,0.186301064,1.572121074,0.924827422,2.182949237,0.056856635,,,0,THCA,GDSC2
BMS-536924,1091,"IGF1R, IR",IGF1R signaling,BRAF_mut,7,9,0.251592644,1.958847606,2.307616136,,,0.597994969,-0.34876853,0.833904739,1.68563752,0.625364549,,,0,THCA,GDSC2
BMS-536924,1091,"IGF1R, IR",IGF1R signaling,NRAS_mut,3,13,0.418370156,1.686716493,2.26310223,,,0.602807816,-0.576385737,1.575784747,1.341837866,0.524222812,,,0,THCA,GDSC2
BMS-536924,1091,"IGF1R, IR",IGF1R signaling,TP53_mut,11,5,0.361492959,1.999518188,2.49715568,,,0.655146432,-0.497637492,0.771966951,2.267803241,0.51361821,,,0,THCA,GDSC2
GSK1904529A,1093,"IGF1R, IR",IGF1R signaling,BRAF_mut,7,9,0.415885709,4.454994158,4.828186747,,,0.385412917,-0.373192589,0.496183572,1.10657023,0.423070542,,,0,THCA,GDSC2
GSK1904529A,1093,"IGF1R, IR",IGF1R signaling,NRAS_mut,3,13,0.749975605,5.199303008,4.541594678,,,0.345619146,0.65770833,0.922925874,0.869077951,0.261183986,,,0,THCA,GDSC2
GSK1904529A,1093,"IGF1R, IR",IGF1R signaling,TP53_mut,11,5,0.385313592,4.556231723,4.904018175,,,0.551295793,-0.347786451,0.806900872,1.106219021,0.486727291,,,0,THCA,GDSC2
PRIMA-1MET,1131,TP53 activation,p53 pathway,BRAF_mut,7,7,0.80636078,3.482292396,4.971027171,,,0.159933043,-1.488734775,1.518428543,2.124046175,0.157280501,,,0,THCA,GDSC2
PRIMA-1MET,1131,TP53 activation,p53 pathway,NRAS_mut,3,11,0.961522231,5.626199175,3.844967222,,,0.387109258,1.781231953,2.803039587,1.595856165,0.165637382,,,0,THCA,GDSC2
PRIMA-1MET,1131,TP53 activation,p53 pathway,TP53_mut,10,4,0.664461745,4.590318439,3.317513145,,,0.322870568,1.272805294,1.883874004,2.007556202,0.283344058,,,0,THCA,GDSC2
Serdemetan,1133,MDM2,p53 pathway,BRAF_mut,7,9,0.053517613,4.539217792,4.593985571,,,0.913151043,-0.054767779,0.814912164,1.155271916,0.916933733,,,91.69337331,THCA,GDSC2
Serdemetan,1133,MDM2,p53 pathway,NRAS_mut,3,13,0.129931007,4.677944707,4.545120043,,,0.865806732,0.132824663,1.14489716,1.000372632,0.842167173,,,91.69337331,THCA,GDSC2
Serdemetan,1133,MDM2,p53 pathway,TP53_mut,11,5,0.673280069,4.774354987,4.120497965,,,0.361211916,0.653857021,0.756466402,1.367614899,0.232396579,,,69.71897379,THCA,GDSC2
TW 37,1149,"BCL2, BCL-XL, MCL1",Apoptosis regulation,BRAF_mut,3,4,0.822495111,0.784738084,2.39083311,,,0.326151096,-1.606095026,1.834292344,2.027818131,0.330718077,,,0,THCA,GDSC2
TW 37,1149,"BCL2, BCL-XL, MCL1",Apoptosis regulation,TP53_mut,3,4,0.257669596,1.386954917,1.939170485,,,0.723398381,-0.552215569,1.159127744,2.599843238,0.749540642,,,0,THCA,GDSC2
Erlotinib,1168,EGFR,EGFR signaling,BRAF_mut,7,9,1.075483816,3.069177996,3.989287543,,,0.038501559,-0.920109547,0.465650761,1.057478008,0.051004076,,,0,THCA,GDSC2
Erlotinib,1168,EGFR,EGFR signaling,NRAS_mut,3,13,0.20819482,3.752719496,3.548436567,,,0.755601753,0.20428293,0.927428413,0.989890057,0.749954192,,,0,THCA,GDSC2
Erlotinib,1168,EGFR,EGFR signaling,TP53_mut,11,5,0.98523022,3.314241691,4.18623505,,,0.177501596,-0.871993359,0.748012275,1.158830398,0.089144838,,,0,THCA,GDSC2
Rucaparib,1175,"PARP1, PARP2",Genome integrity,BRAF_mut,7,9,0.292802758,4.365163157,4.709101798,,,0.542910045,-0.34393864,0.760134861,1.407576314,0.570467944,,,0,THCA,GDSC2
Rucaparib,1175,"PARP1, PARP2",Genome integrity,NRAS_mut,3,13,0.117408069,4.445367632,4.584765799,,,0.910627266,-0.139398167,1.86637642,1.031531768,0.857188247,,,0,THCA,GDSC2
Rucaparib,1175,"PARP1, PARP2",Genome integrity,TP53_mut,11,5,0.326645139,4.678410295,4.295109006,,,0.653046341,0.383301289,0.88387759,1.693025949,0.554461324,,,0,THCA,GDSC2
Niraparib,1177,"PARP1, PARP2",Genome integrity,BRAF_mut,7,7,0.846242481,4.338262808,5.150325567,,,0.145006142,-0.81206276,1.163659254,0.698283539,0.139366782,,,0,THCA,GDSC2
Niraparib,1177,"PARP1, PARP2",Genome integrity,NRAS_mut,3,11,0.086334602,4.815812367,4.72478923,,,0.823689723,0.091023137,0.347797707,1.144413447,0.896746413,,,0,THCA,GDSC2
Niraparib,1177,"PARP1, PARP2",Genome integrity,TP53_mut,10,4,0.70771464,4.945949991,4.240154678,,,0.470953237,0.705795313,0.607009324,1.694978586,0.254698369,,,0,THCA,GDSC2
MK-1775,1179,"WEE1, PLK1",Cell cycle,BRAF_mut,7,9,0.493962474,1.008171871,1.758009333,,,0.306758868,-0.749837462,0.867799883,1.862199135,0.343634636,,,94.38088007,THCA,GDSC2
MK-1775,1179,"WEE1, PLK1",Cell cycle,NRAS_mut,3,13,0.271331585,1.086204566,1.509282569,,,0.701878568,-0.423078003,1.569249341,1.557595405,0.678281739,,,94.38088007,THCA,GDSC2
MK-1775,1179,"WEE1, PLK1",Cell cycle,TP53_mut,11,5,0.038703901,1.41097918,1.471703222,,,0.952463288,-0.060724042,1.372519216,1.976351638,0.943808801,,,94.38088007,THCA,GDSC2
Dinaciclib,1180,"CDK1, CDK2, CDK5, CDK9",Cell cycle,BRAF_mut,7,7,0.789913858,-2.725948932,-1.56384038,,,0.179228355,-1.162108552,0.736815098,1.945730624,0.165223267,,,0,THCA,GDSC2
Dinaciclib,1180,"CDK1, CDK2, CDK5, CDK9",Cell cycle,NRAS_mut,3,11,0.294082166,-2.511373741,-2.044945815,,,0.767790005,-0.466427926,2.335398186,1.388464775,0.659677833,,,0,THCA,GDSC2
Dinaciclib,1180,"CDK1, CDK2, CDK5, CDK9",Cell cycle,TP53_mut,10,4,0.320396272,-2.000234269,-2.506545624,,,0.716102385,0.506311356,1.14170482,2.465460125,0.598027332,,,0,THCA,GDSC2
Gemcitabine,1190,Pyrimidine antimetabolite,DNA replication,BRAF_mut,7,9,0.426680405,-0.71525171,0.258062075,,,0.404073151,-0.973313785,2.115089897,2.398128752,0.411419868,,,0,THCA,GDSC2
Gemcitabine,1190,Pyrimidine antimetabolite,DNA replication,NRAS_mut,3,13,1.468393019,2.211507443,-0.716825048,,,0.013874412,2.928332491,1.092935596,2.107309802,0.037883006,,,0,THCA,GDSC2
Gemcitabine,1190,Pyrimidine antimetabolite,DNA replication,TP53_mut,11,5,0.207828149,-0.318860155,0.164651684,,,0.745388749,-0.48351184,2.078154987,2.854340595,0.705788689,,,0,THCA,GDSC2
Bortezomib,1191,Proteasome,Protein stability and degradation,BRAF_mut,7,9,0.834760097,-5.186452458,-4.299194421,,,0.095530416,-0.887258037,0.548975722,1.323255537,0.11986812,,,0,THCA,GDSC2
Bortezomib,1191,Proteasome,Protein stability and degradation,NRAS_mut,3,13,0.176885887,-4.520765055,-4.725817064,,,0.864438316,0.205052009,1.799799377,1.013860193,0.786457729,,,0,THCA,GDSC2
Bortezomib,1191,Proteasome,Protein stability and degradation,TP53_mut,11,5,0.502218942,-4.864399348,-4.297904833,,,0.458908379,-0.566494515,0.966428307,1.455421573,0.367561355,,,0,THCA,GDSC2
Tamoxifen,1199,ESR1,Hormone-related,BRAF_mut,7,9,1.040811931,3.708519319,4.98358907,,,0.043906949,-1.275069751,0.564276881,1.545185093,0.057926773,,,0,THCA,GDSC2
Tamoxifen,1199,ESR1,Hormone-related,NRAS_mut,3,13,0.09221147,4.530507132,4.401570421,,,0.78169392,0.128936711,0.320001724,1.504645587,0.887579801,,,0,THCA,GDSC2
Tamoxifen,1199,ESR1,Hormone-related,TP53_mut,11,5,0.870558276,4.076201194,5.194744747,,,0.243800655,-1.118543553,1.02431313,1.776222004,0.128820385,,,0,THCA,GDSC2
Fulvestrant,1200,ESR,Hormone-related,BRAF_mut,7,9,0.487927242,3.452300221,3.94265066,,,0.310601406,-0.490350439,0.537467255,1.245299945,0.349373893,,,0,THCA,GDSC2
Fulvestrant,1200,ESR,Hormone-related,NRAS_mut,3,13,0.169457449,3.585552965,3.761022969,,,0.837425079,-0.175470003,1.254612968,0.994274907,0.795199441,,,0,THCA,GDSC2
Fulvestrant,1200,ESR,Hormone-related,TP53_mut,11,5,0.296061531,3.633098333,3.937175165,,,0.687095301,-0.304076831,0.753466898,1.50757953,0.59171279,,,0,THCA,GDSC2
EPZ004777,1237,DOT1L,Chromatin histone methylation,BRAF_mut,7,9,0.40931587,5.554642253,5.952791965,,,0.401715697,-0.398149712,0.676059636,1.14587508,0.430265356,,,0,THCA,GDSC2
EPZ004777,1237,DOT1L,Chromatin histone methylation,NRAS_mut,3,13,0.137813226,5.889872867,5.75292345,,,0.871709356,0.136949417,1.251093968,0.944041602,0.832744768,,,0,THCA,GDSC2
EPZ004777,1237,DOT1L,Chromatin histone methylation,TP53_mut,11,5,0.261335661,5.697985018,5.955957651,,,0.712832214,-0.257972633,0.769606439,1.389159506,0.635503022,,,0,THCA,GDSC2
YK-4-279,1239,RNA helicase A,Other,BRAF_mut,7,9,0.808641285,2.111366047,3.612126379,,,0.103723331,-1.500760332,0.697067203,2.379755298,0.130896397,,,0,THCA,GDSC2
YK-4-279,1239,RNA helicase A,Other,NRAS_mut,3,13,0.233886162,2.573613321,3.043681521,,,0.741008774,-0.470068201,2.027156356,2.006911624,0.720453438,,,0,THCA,GDSC2
YK-4-279,1239,RNA helicase A,Other,TP53_mut,11,5,0.525025279,2.634899146,3.660961827,,,0.533111432,-1.026062682,0.95839657,3.327363869,0.346862899,,,0,THCA,GDSC2
Daporinad,1248,NAMPT,Metabolism,BRAF_mut,3,6,0.300288122,-3.837400653,-2.924369793,,,0.596954304,-0.91303086,1.44917117,3.478878309,0.683824147,,,92.87055732,THCA,GDSC2
Daporinad,1248,NAMPT,Metabolism,TP53_mut,4,5,0.062214493,-3.122342384,-3.313810237,,,0.936245373,0.191467853,4.170348375,1.879064466,0.928705573,,,92.87055732,THCA,GDSC2
BMS-345541,1249,"IKK-1, IKK-2",Other,BRAF_mut,7,7,0.902654514,3.143411187,4.472480661,,,0.127278061,-1.329069473,0.890730292,1.882160828,0.117067737,,,0,THCA,GDSC2
BMS-345541,1249,"IKK-1, IKK-2",Other,NRAS_mut,3,11,0.335669464,3.380631849,3.924486127,,,0.654367606,-0.543854278,1.710413576,1.601557051,0.615667781,,,0,THCA,GDSC2
BMS-345541,1249,"IKK-1, IKK-2",Other,TP53_mut,10,4,0.151898036,3.737050411,3.985184708,,,0.873624948,-0.248134297,0.947909209,2.824615958,0.801717483,,,0,THCA,GDSC2
AZ960,1250,"JAK2, JAK3","Other, kinases",BRAF_mut,7,7,0.248214861,1.99652252,2.376771949,,,0.651710671,-0.380249428,1.232966521,1.781418814,0.650696269,,,0,THCA,GDSC2
AZ960,1250,"JAK2, JAK3","Other, kinases",NRAS_mut,3,11,0.121275264,2.333715398,2.146537735,,,0.917659577,0.187177663,2.737488451,1.166093934,0.855403266,,,0,THCA,GDSC2
AZ960,1250,"JAK2, JAK3","Other, kinases",TP53_mut,10,4,0.840777588,2.530159339,1.327866974,,,0.239895811,1.202292365,1.37768889,1.576468668,0.180728979,,,0,THCA,GDSC2
Talazoparib,1259,"PARP1, PARP2",Genome integrity,BRAF_mut,7,9,0.210731265,3.648625874,3.257733381,,,0.677522169,0.390892493,1.72613005,1.945949287,0.682175605,,,0,THCA,GDSC2
Talazoparib,1259,"PARP1, PARP2",Genome integrity,NRAS_mut,3,13,0.398869341,2.832064663,3.566445197,,,0.261862533,-0.734380534,0.524297311,1.977122943,0.543470044,,,0,THCA,GDSC2
Talazoparib,1259,"PARP1, PARP2",Genome integrity,TP53_mut,11,5,0.188581719,3.319230881,3.66968837,,,0.783192398,-0.350457489,1.523368358,2.507181177,0.731812698,,,0,THCA,GDSC2
XAV939,1268,"TNKS1, TNKS2",WNT signaling,BRAF_mut,7,7,0.083980518,4.714078373,4.635154172,,,0.878672539,0.078924201,0.599088652,1.18638525,0.877768193,,,0,THCA,GDSC2
XAV939,1268,"TNKS1, TNKS2",WNT signaling,NRAS_mut,3,11,0.158546088,4.791520038,4.642733428,,,0.890018641,0.14878661,1.622569054,0.72819385,0.811794801,,,0,THCA,GDSC2
XAV939,1268,"TNKS1, TNKS2",WNT signaling,TP53_mut,10,4,0.559040036,4.819582731,4.312200126,,,0.497625716,0.507382605,0.74749898,1.272265373,0.363322962,,,0,THCA,GDSC2
Trametinib,1372,"MEK1, MEK2",ERK MAPK signaling,BRAF_mut,7,9,0.945456004,-1.838683125,0.021294921,,,0.076106114,-1.859978047,1.780979389,2.096169783,0.081648932,,,0,THCA,GDSC2
Trametinib,1372,"MEK1, MEK2",ERK MAPK signaling,NRAS_mut,3,13,0.756306167,-2.082093981,-0.49483428,,,0.272369512,-1.587259702,1.833675238,2.139681634,0.25736152,,,0,THCA,GDSC2
Trametinib,1372,"MEK1, MEK2",ERK MAPK signaling,TP53_mut,11,5,0.093084184,-0.728497028,-0.933132055,,,0.895246764,0.204635027,1.708526104,3.101211035,0.865449569,,,0,THCA,GDSC2
Dabrafenib,1373,BRAF,ERK MAPK signaling,BRAF_mut,7,9,2.624366304,1.335018294,5.216403613,,,0.000107815,-3.881385319,1.320941204,1.587215819,0.000132737,,,0.039821137,THCA,GDSC2
Dabrafenib,1373,BRAF,ERK MAPK signaling,NRAS_mut,3,13,0.600807204,4.718463297,3.241336206,,,0.265793119,1.477127091,1.611119215,2.572815904,0.364140813,,,54.62112194,THCA,GDSC2
Dabrafenib,1373,BRAF,ERK MAPK signaling,TP53_mut,11,5,0.016033074,3.505598484,3.54623545,,,0.981938271,-0.040636966,1.960821517,3.587774228,0.976705092,,,97.67050923,THCA,GDSC2
Temozolomide,1375,DNA alkylating agent,DNA replication,BRAF_mut,7,9,0.359915379,6.749621064,7.043438277,,,0.457538402,-0.293817213,0.54418204,0.971673595,0.486850482,,,0,THCA,GDSC2
Temozolomide,1375,DNA alkylating agent,DNA replication,NRAS_mut,3,13,0.178722457,6.794543371,6.942666294,,,0.871875725,-0.148122923,1.382478028,0.694859045,0.78430102,,,0,THCA,GDSC2
Temozolomide,1375,DNA alkylating agent,DNA replication,TP53_mut,11,5,0.274670413,6.985577659,6.759387538,,,0.727000443,0.226190121,0.503925432,1.318582776,0.618507021,,,0,THCA,GDSC2
Bleomycin (50 uM),1378,dsDNA break induction,DNA replication,BRAF_mut,7,7,0.292849751,3.238061734,3.729754579,,,0.595504264,-0.491692844,1.995554537,1.28677924,0.59382482,,,0,THCA,GDSC2
Bleomycin (50 uM),1378,dsDNA break induction,DNA replication,TP53_mut,10,4,0.382329518,3.666446721,3.027561746,,,0.62060435,0.638884974,1.44915489,2.206636831,0.530280057,,,0,THCA,GDSC2
AZD5438,1401,CDK2,Cell cycle,BRAF_mut,7,5,1.483106845,2.08641736,4.635707844,,,0.071793023,-2.549290484,1.103464435,2.357957938,0.029723421,,,5.944684182,THCA,GDSC2
AZD5438,1401,CDK2,Cell cycle,TP53_mut,9,3,0.028511811,3.132925356,3.195710843,,,0.982610805,-0.062785487,1.10943881,4.395738401,0.966728602,,,96.67286022,THCA,GDSC2
IAP_5620,1428,IAP,Other,BRAF_mut,7,5,0.626170848,5.427774352,6.146461155,,,0.359163748,-0.718686803,0.911218893,1.431026949,0.310027047,,,0,THCA,GDSC2
IAP_5620,1428,IAP,Other,TP53_mut,9,3,0.229103154,5.796216389,5.520259581,,,0.860760907,0.275956808,0.621477758,2.389408102,0.738221942,,,0,THCA,GDSC2
AZD2014,1441,"mTORC1, mTORC2",PI3K/MTOR signaling,BRAF_mut,7,5,1.022957385,1.820756922,3.268341185,,,0.125238583,-1.447584263,1.346037255,1.512787721,0.111213447,,,0,THCA,GDSC2
AZD2014,1441,"mTORC1, mTORC2",PI3K/MTOR signaling,TP53_mut,9,3,0.137777003,2.479484184,2.257215575,,,0.91647118,0.222268609,0.803557176,3.229557981,0.840418379,,,0,THCA,GDSC2
AZD1208,1449,"PIM1, PIM2, PIM3","Other, kinases",BRAF_mut,7,5,0.848847456,5.632974534,6.351248988,,,0.277936236,-0.718274454,0.355234299,1.2652067,0.177773929,,,0,THCA,GDSC2
AZD1208,1449,"PIM1, PIM2, PIM3","Other, kinases",TP53_mut,9,3,0.506959,5.817549219,6.276374568,,,0.681550343,-0.45882535,0.580341827,1.657838523,0.4645445,,,0,THCA,GDSC2
AZD1332,1463,"NTRK1, NTRK2, NTRK3",RTK signaling,BRAF_mut,7,5,0.175386104,4.520275136,4.81139327,,,0.787129686,-0.291118134,1.392211315,1.99512973,0.770669702,,,0,THCA,GDSC2
AZD1332,1463,"NTRK1, NTRK2, NTRK3",RTK signaling,TP53_mut,9,3,0.501906809,4.438055356,5.252131366,,,0.611465861,-0.814076011,1.399729504,2.305841554,0.468886501,,,0,THCA,GDSC2
SN-38,1494,TOP1,DNA replication,BRAF_mut,7,9,0.16590639,-3.448797866,-3.188194176,,,0.748463886,-0.26060369,1.602250446,1.546770429,0.74687007,,,0,THCA,GDSC2
SN-38,1494,TOP1,DNA replication,NRAS_mut,3,13,0.394005462,-2.804097017,-3.417157046,,,0.228246237,0.613060029,0.242209671,1.677726491,0.548330937,,,0,THCA,GDSC2
SN-38,1494,TOP1,DNA replication,TP53_mut,11,5,0.21166397,-3.405940419,-3.073997607,,,0.768367301,-0.331942812,1.191617474,2.249019509,0.700646184,,,0,THCA,GDSC2
